Category,Training,Validation,Test,Total
Apple___Apple_scab,4355,504,504,5363
Apple___Black_rot,3900,497,497,4894
Apple___Brown spot,1261,315,394,1970
Apple___Cedar_apple_rust,3736,440,440,4616
Apple___Grey spot,599,149,187,935
Apple___Mosaic,804,200,251,1255
Apple___healthy,6355,502,502,7359
Blueberry___healthy,5070,454,454,5978
Cherry___Powdery_mildew,4255,421,421,5097
Cherry___healthy,3060,456,456,3972
Corn___Cercospora_leaf_spot_Gray_leaf_spot,4545,410,410,5365
Corn___Common_rust,5300,477,477,6254
Corn___Northern_Leaf_Blight,4455,477,477,5409
Corn___healthy,5325,465,465,6255
Grape___Black_rot,4125,472,472,5069
Grape___Esca_(Black_Measles),4880,480,480,5840
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),4430,430,430,5290
Grape___healthy,4220,423,423,5066
Orange___Haunglongbing_(Citrus_greening),16880,503,503,17886
Peach___Bacterial_spot,9605,459,459,10523
Peach___healthy,4205,432,432,5069
"Pepper,_bell___Bacterial_spot",4220,478,478,5176
"Pepper,_bell___healthy",4610,497,497,5604
Potato___Early_blight,4030,485,485,5000
Potato___Late_blight,3825,485,485,4795
Potato___healthy,4115,456,456,5027
Raspberry___healthy,3380,445,445,4270
Rice___Brown_Spot,491,122,55,668
Rice___Healthy,1104,276,108,1488
Rice___Leaf_Blast,720,180,77,977
Rice___Neck_Blast,753,188,52,993
Soybean___healthy,6900,505,505,7910
Squash___Powdery_mildew,8205,434,434,9073
Strawberry___Leaf_scorch,917,444,444,1805
Strawberry___healthy,4245,456,456,5157
Tomato___Bacterial_spot,7380,425,425,8230
Tomato___Early_blight,4400,480,480,5360
Tomato___Late_blight,7990,463,463,8916
Tomato___Leaf_Mold,4000,470,470,4940
Tomato___Septoria_leaf_spot,7490,436,436,8362
Tomato___Spider_mites_Two-spotted_spider_mite,1180,435,435,2050
Tomato___Target_Spot,5850,457,457,6764
Tomato___Tomato_Yellow_Leaf_Curl_Virus,20756,490,490,21736
Tomato___Tomato_mosaic_virus,4395,448,448,5291
Tomato___healthy,6505,481,481,7467
Wheat brown spot disease,1672,417,522,2611
Total,220498,19419,19218,259135
